2020-03-17 21:36:57,650 | left side is affected
2020-03-17 21:37:00,691 | Client:-- Connected to143.248.65.103:8011
2020-03-17 21:37:01,891 |    187|    96|   130|    18|    37|    39|   310|    -1|    41|    18|30.105391832314485|31.405054615798697|     0|     3|-0.484|-0.083| 0.774|  3500| 94650| 94650| 60000|     4|    -1|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
2020-03-17 21:37:01,930 |    187|    96|   129|     9|    28|    38|   320|     0|    41|     9|30.68424761824957|31.56549968839444|     0|     3|-0.453|-0.067| 0.769|  3500| 94650| 94650| 60000|     4|     0|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
2020-03-17 21:37:01,970 |    187|    96|   129|     3|    23|    39|   300|    -1|    40|     3|30.74362988638886|31.136273712299268|     0|     3|-0.482|-0.072| 0.763|  3500| 94650| 94650| 60000|     4|    -1|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
2020-03-17 21:37:02,011 |    186|    96|   129|     0|    19|    39|   310|     0|    40|     0|30.96648677373877|31.427380842497765|     0|     3|-0.467|-0.065| 0.754|  3500| 94650| 94650| 60000|     4|     0|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
2020-03-17 21:37:02,051 |    186|    96|   130|     0|    13|    40|   310|     0|    40|     0|30.17231566477311|31.513961854737676|     0|     3|-0.484|-0.092| 0.752|  3500| 94650| 94650| 60000|     4|     0|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
2020-03-17 21:37:02,092 |    186|    96|   131|     0|     7|    40|   310|     0|    40|     0|30.152847451480852|31.90537777689851|     0|     3| -0.46|-0.099| 0.766|  3500| 94650| 94650| 60000|     4|     0|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
2020-03-17 21:37:02,131 |    185|    96|   131|     0|     8|    39|   340|     1|    40|     0|29.83613343864667|31.491685385655032|     0|     3| -0.47|-0.083| 0.761|  3500| 94650| 94650| 60000|     4|     1|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
2020-03-17 21:37:02,171 |    184|    96|   131|     0|     8|    41|   320|    -1|    40|     0|30.429174234465858|31.48276291398215|     0|     3|-0.482|-0.085| 0.763|  3500| 94650| 94650| 60000|     4|    -1|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
2020-03-17 21:37:02,211 |    184|    96|   132|     0|     9|    41|   310|    -1|    40|     0|29.90093499499974|31.62547732767566|     0|     3|-0.481|-0.083| 0.742|  3500| 94650| 94650| 60000|     4|    -1|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
2020-03-17 21:37:02,251 |    184|    96|   132|     0|    10|    42|   320|     0|    41|     0|29.729731418557137|32.0939521261093|     0|     3|-0.484|-0.073| 0.755|  3500| 94650| 94650| 60000|     4|     0|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
2020-03-17 21:37:02,291 |    182|    96|   132|     0|    11|    44|   330|     0|    41|     0|29.620411211548745|32.27549962180541|     0|     3|-0.467|-0.063| 0.761|  3500| 94650| 94650| 60000|     4|     0|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
2020-03-17 21:37:02,331 |    179|    96|   132|     0|    15|    47|   340|     0|    41|     0|30.033639459022407|31.962338074305606|     0|     3|-0.484|-0.067| 0.752|  3500| 94650| 94650| 60000|     4|     0|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
2020-03-17 21:37:02,371 |    176|    96|   132|     3|    24|    49|   330|     0|    42|     3|29.376050842511958|32.230294718769194|     0|     3|-0.462|-0.066| 0.729|  3500| 94650| 94650| 60000|     4|     0|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
2020-03-17 21:37:02,411 |    172|    96|   132|    12|    32|    51|   340|     0|    42|    12|30.12826560900132|32.23908971418517|     0|     3|-0.464|-0.071| 0.763|  3500| 94650| 94650| 60000|     4|     0|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
2020-03-17 21:37:02,451 |    167|    96|   133|    20|    37|    53|   320|     0|    42|    20|30.042204888546706|31.865230057314523|     0|     3|-0.479|-0.106| 0.765|  3500| 94650| 94650| 60000|     4|     0|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
2020-03-17 21:37:02,491 |    164|    95|   133|    28|    41|    55|   320|     0|    42|    28|29.326520297605867|31.885546339554814|     0|     3|-0.482|-0.074| 0.756|  3500| 94650| 94650| 60000|     4|     0|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
2020-03-17 21:37:02,531 |    159|    95|   132|    35|    45|    59|   320|     0|    42|    35|29.300338219479606|32.09261886766946|     0|     3|-0.456|-0.072| 0.751|  3500| 94650| 94650| 60000|     4|     0|     0|     7|     8|   400|   400|     5|    50|  3000|    18|    15|    16|    17|
